inn,name,revenue,employees,nace_code,region,registration_date
273086991,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАСИСТЕМС""",410923008.0,12.0,62.0,Республика Башкортостан,2020-08-10
273925407,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАТИВНЫЕ КОММУНИКАЦИИ""",205012000.0,46.0,62.01,Республика Башкортостан,2019-03-10
273925407,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАТИВНЫЕ КОММУНИКАЦИИ""",205012000.0,46.0,62.01,Республика Башкортостан,2024-07-10
273946855,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМТРАНС ПЛЮС""",102697000.0,3.0,63.99,Республика Башкортостан,2023-04-10
274119079,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТАС-КОМПАНИ""",254664992.0,38.0,62.01,Республика Башкортостан,2016-08-10
274125308,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОДЕРЛАЙН СОФТ-ПОРТАЛ""",165836000.0,56.0,62.01,Республика Башкортостан,2023-04-10
274139068,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙТИ ПЕРСОНАЛ""",142272992.0,18.0,62.01,Республика Башкортостан,2016-08-10
274139879,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""АВТОМАТИЗАЦИЯ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ""",442195008.0,7.0,62.01,Республика Башкортостан,2016-08-10
274139879,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""АВТОМАТИЗАЦИЯ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ""",442195008.0,7.0,62.01,Москва,2024-06-10
274141518,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОРМЗАЩИТА""",151364992.0,12.0,62.09,Республика Башкортостан,2016-08-10
274158790,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФРОДЕКС""",214402000.0,36.0,62.0,Республика Башкортостан,2016-08-10
274158790,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФРОДЕКС""",214402000.0,36.0,62.0,Республика Башкортостан,2024-07-10
274166343,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЭСТ""",119164000.0,15.0,62.09,Республика Башкортостан,2023-05-10
274172918,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРЕЗОЛ-МЕНЕДЖМЕНТ""",138727008.0,87.0,63.99.1,Республика Башкортостан,2024-01-10
274187858,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НГП ИНФОРМ""",261192000.0,50.0,62.09,Республика Башкортостан,2016-08-10
274191043,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГО АУДИТ""",263559008.0,53.0,62.01,Республика Башкортостан,2023-07-10
274191220,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСУ-ИНЖИНИРИНГ""",254240992.0,85.0,62.09,Республика Башкортостан,2022-11-10
274191484,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЫСОКИЕ ТЕХНОЛОГИИ""",216364000.0,39.0,63.11,Москва,2021-07-10
274192696,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-УФА""",171968992.0,18.0,62.01,Республика Башкортостан,2019-08-10
274192696,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-УФА""",171968992.0,18.0,62.01,Республика Башкортостан,2024-12-10
274922889,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНЫЙ ПРОЕКТНЫЙ ЦЕНТР ""ВИРТЭК""",128552000.0,40.0,62.03,Республика Башкортостан,2020-02-10
274931428,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВАЛЬ""",116236000.0,1.0,62.09,Республика Башкортостан,2023-12-10
274939441,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ ПРОФИТ""",111660000.0,30.0,62.01,Республика Башкортостан,2018-08-10
274945082,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САМОЛЕТ ПЛЮС АГЕНТ""",113774000.0,48.0,62.01,Республика Башкортостан,2023-09-10
274964159,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБЛАКО 365""",116967000.0,56.0,62.01,Республика Башкортостан,2021-04-10
274971438,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИДЖИТАЛ ИНЖИНИРИНГ ТЕХНОЛОДЖИ""",175787008.0,66.0,62.01,Республика Башкортостан,2023-07-10
274972262,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАХЭЛП""",161231008.0,40.0,62.01,Республика Башкортостан,2022-06-10
274980707,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАШ ВИАР""",253050000.0,0.0,62.01,Республика Башкортостан,2023-09-10
275056840,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОЗНА-ДИДЖИТАЛ СОЛЮШНС""",338767008.0,136.0,62.01,Республика Башкортостан,2023-07-10
275065098,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР ""ГЕОТЭК""",229155008.0,24.0,62.01,Республика Башкортостан,2016-08-10
275074568,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НГТ-ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",186711008.0,69.0,62.01,Республика Башкортостан,2021-04-10
275076580,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНЕРДЖИ СОФТ""",270478016.0,11.0,62.09,Республика Башкортостан,2016-08-10
275901779,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКБЕР-СОФТ""",130273000.0,41.0,62.01,Республика Башкортостан,2016-08-10
275901779,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКБЕР-СОФТ""",130273000.0,41.0,62.01,Республика Башкортостан,2024-07-10
275905251,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИПЛАЙН""",487310016.0,17.0,62.01,Республика Башкортостан,2023-12-10
275906985,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНЫЙ ЦЕНТР СИСТЕМ БЕЗОПАСНОСТИ""",350675008.0,53.0,63.11.1,Республика Башкортостан,2021-07-10
275912185,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНЫЙ СТАПЕЛЬ""",6239205900.0,10.0,58.29,Республика Башкортостан,2017-10-10
275931220,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭДСЕЛЛЕР""",122056000.0,4.0,62.01,Республика Башкортостан,2023-09-10
276059386,"АКЦИОНЕРНОЕ ОБЩЕСТВО НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""ЭЛИКОМ""",160024992.0,12.0,62.09,Республика Башкортостан,2022-10-10
276060279,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮНИСОФТ""",143088000.0,20.0,62.01,Республика Башкортостан,2017-08-10
276063625,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАШТЕЛЕИНФОРМ""",121099000.0,16.0,62.09,Удмуртская республика,2022-03-10
276098297,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУК-ПРЕСС""",109073000.0,13.0,58.11,Республика Башкортостан,2022-07-10
276130180,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-ПРО""",125824000.0,39.0,62.01,Республика Башкортостан,2016-08-10
276133840,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОМПАНИЯ ПРАВА ""РЕСПЕКТ""",162744000.0,68.0,63.11,Республика Башкортостан,2017-12-10
276902493,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСИМ-УФА""",163384000.0,3.0,62.09,Республика Башкортостан,2020-01-10
276916954,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САППОРТ ЛАБ""",204028992.0,9.0,62.01,Республика Башкортостан,2016-11-10
276917933,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИРА""",159944992.0,23.0,62.09,Республика Башкортостан,2016-12-10
276919747,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОГРЕСС""",149532000.0,2.0,62.01,Республика Калмыкия,2023-10-10
276935587,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТАВР""",196852992.0,15.0,62.09,Республика Башкортостан,2018-10-10
276935587,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТАВР""",196852992.0,15.0,62.09,Республика Башкортостан,2024-07-10
276944133,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГИ-ОНЛАЙН""",101268000.0,17.0,63.11.1,Республика Башкортостан,2020-01-10
276959845,"АКЦИОНЕРНОЕ ОБЩЕСТВО НАУЧНО-ИНВЕСТИЦИОННАЯ КОМПАНИЯ ""ОНИКС""",268928992.0,1.0,62.01,Республика Башкортостан,2022-04-10
276977435,"АКЦИОНЕРНОЕ ОБЩЕСТВО ИНЖЕНЕРНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ДИАСПРО""",145951008.0,20.0,62.01,Республика Башкортостан,2023-11-10
277128392,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ""",145547008.0,22.0,62.09,Республика Башкортостан,2023-07-10
277945690,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЕ СИСТЕМЫ""",751993020.0,4.0,63.11,Республика Башкортостан,2023-12-10
278082704,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АИР-СОФТ""",125083000.0,7.0,62.01,Республика Башкортостан,2016-08-10
278085342,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""ЭКСИТОН-АВТОМАТИКА""",2674757120.0,294.0,62.01,Республика Башкортостан,2023-01-10
278095326,"НЕПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБКОМ""",1764727040.0,191.0,62.01,Республика Башкортостан,2022-11-10
278101474,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""АВИАТРОН""",1865958020.0,235.0,62.01,Республика Башкортостан,2020-10-10
278160590,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОН""",261826000.0,60.0,62.09,Республика Башкортостан,2022-07-10
278181173,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАШ КОНСУЛЬТАНТ""",130697000.0,70.0,63.11,Республика Башкортостан,2019-09-10
278184720,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АУКЦИОНЫ ФЕДЕРАЦИИ""",170867008.0,9.0,62.0,Республика Башкортостан,2016-08-10
278203324,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМТЕК""",169568000.0,70.0,62.01,Республика Башкортостан,2016-08-10
278212431,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕНСУМ-УРАЛ""",109157000.0,54.0,63.11.1,Республика Башкортостан,2019-04-10
278915811,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭФФЕКТИВНАЯ КОМАНДА""",213302000.0,28.0,62.01,Республика Башкортостан,2022-07-10
278964752,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕКСАКОН""",658028030.0,12.0,63.11,Республика Татарстан,2023-12-10
278969574,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1984""",183776000.0,86.0,62.01,Республика Татарстан,2022-11-10
278972908,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБКОМ ЦИФРОВЫЕ ПРОМЫШЛЕННЫЕ РЕШЕНИЯ""",834430980.0,99.0,62.01,Республика Башкортостан,2023-07-10
300009004,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИТЛЭЙК""",100115000.0,1.0,62.03.13,Республика Бурятия,2023-07-10
323019200,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БУРЯТСКОЕ ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""КОНУС""",104281000.0,21.0,62.09,Республика Бурятия,2017-06-10
323400790,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛМЕДСИСТЕМС""",106872000.0,28.0,62.01,Республика Бурятия,2017-08-10
326489404,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНУС ПЛЮС""",258458000.0,28.0,62.09,Республика Бурятия,2016-08-10
326489404,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНУС ПЛЮС""",258458000.0,28.0,62.09,Республика Бурятия,2024-07-10
326538027,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСИМ-УЛАН-УДЭ""",183000000.0,5.0,62.09,Республика Бурятия,2016-08-10
400012850,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАСЧЕТНО-ИНФОРМАЦИОННЫЙ ЦЕНТР ""ТВОЙ ДОМ""",362310016.0,9.0,63.11,Республика Алтай,2020-01-10
411059120,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАМАКС СИСТЕМЗ""",191136992.0,52.0,62.01,Москва,2021-10-10
411059120,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАМАКС СИСТЕМЗ""",191136992.0,52.0,62.01,Москва,2024-07-10
411119612,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕОЛИДЕР""",197388000.0,37.0,62.01,Москва,2016-08-10
572002781,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ""ИНТЕРСВЯЗЬ""",393935008.0,50.0,62.09,Республика Дагестан,2023-06-10
572013021,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСИМ-МАХАЧКАЛА""",112627000.0,0.0,62.09,Республика Дагестан,2016-08-10
572021583,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНЫЕ И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",299159008.0,5.0,62.02,Республика Дагестан,2018-07-10
600007865,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОЦЕНТР НАЗРАНЬ""",1040905980.0,38.0,62.03,Республика Ингушетия,2023-04-10
600007865,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОЦЕНТР НАЗРАНЬ""",1040905980.0,38.0,62.03,Республика Ингушетия,2024-07-10
608039393,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВКАВИНФОРМЦЕНТР""",113738000.0,3.0,63.11,Республика Ингушетия,2018-02-10
608039393,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВКАВИНФОРМЦЕНТР""",113738000.0,3.0,62.09,Республика Ингушетия,2024-05-10
725023781,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСИМ-ЮГ""",118160000.0,3.0,62.09,Кабардино-Балкарская республика,2021-07-10
725023781,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСИМ-ЮГ""",118160000.0,3.0,62.09,Краснодарский край,2024-04-10
800010632,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФЕССИОНАЛЬНЫЕ ОТРАСЛЕВЫЕ РЕШЕНИЯ""",103585000.0,5.0,62.01,Республика Калмыкия,2023-09-10
816035914,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСИМ-ЭЛИСТА""",116415000.0,2.0,62.09,Республика Калмыкия,2017-11-10
1001156517,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОКРАФТ СЕВЕРО-ЗАПАД""",110249000.0,38.0,62.01,Республика Карелия,2016-08-10
1001162630,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМТЕК""",173620000.0,34.0,62.02,Республика Карелия,2016-08-10
1001185123,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕТРИКА МЕДИЦИНА""",1061681020.0,91.0,63.11,Санкт-Петербург,2021-02-10
1001212715,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОКОД""",157390000.0,35.0,62.01,Республика Карелия,2016-08-10
1001215794,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПУТНИКСЕРВИС""",185518000.0,29.0,63.11,Республика Карелия,2022-10-10
1001256060,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЛАБ.ПРО""",129903000.0,64.0,62.0,Республика Карелия,2021-07-10
1001283924,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕОСИСТЕМЫ ИТ""",194903008.0,85.0,62.01,Республика Карелия,2021-07-10
1001294517,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСИМ-ПЕТРОЗАВОДСК""",118371000.0,2.0,62.09,Республика Карелия,2016-08-10
1001314072,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАТЛЕКС""",179108992.0,29.0,62.01,Республика Карелия,2022-07-10
1001332392,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТРИУМ МЕДИАГРУПП""",123137000.0,3.0,62.01,Республика Карелия,2022-04-10
1006027561,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЮ ДАТА ЦЕНТР""",1334333950.0,53.0,63.11,Республика Карелия,2019-09-10
1006027850,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАТА-ЦЕНТР АРКТИКА2""",1853321980.0,57.0,63.11,Республика Карелия,2020-11-10
1101011868,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРФЕЙС""",206828000.0,24.0,62.01,Республика Коми,2016-08-10
1101065253,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТИКС""",451244992.0,69.0,62.02,Республика Коми,2020-08-10
1101066602,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОЛОГИИ УСПЕХА""",431283008.0,23.0,62.09,Республика Коми,2016-08-10
1101111799,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНСУЛЬТАНТПЛЮСКОМИ""",151292000.0,65.0,63.11.1,Республика Коми,2023-07-10
1101168121,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКАЙ""",169790000.0,4.0,63.11.9,Республика Коми,2020-04-10
1102029071,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНСАЛТ-ИНФОРМ""",128681000.0,46.0,62.01,Республика Коми,2016-08-10
1102076120,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИСАДМИН""",196574000.0,8.0,62.01,Республика Коми,2023-11-10
1121027908,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЕМ ЭЛЕКТРО""",111317000.0,1.0,62.02,Республика Коми,2022-11-10
1121027908,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЕМ ЭЛЕКТРО""",111317000.0,1.0,62.02,Республика Коми,2024-04-10
1200007580,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ СМАРТКОМСИТИ""",107607000.0,1.0,62.01,Республика Марий Эл,2023-09-10
1215007858,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""1С-РАРУС ЙОШКАР-ОЛА""",174232000.0,32.0,62.01,Республика Марий Эл,2022-07-10
1215085863,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР СОПРОВОЖДЕНИЯ 1С-РАРУС ЙОШКАР-ОЛА""",107874000.0,57.0,62.0,Республика Марий Эл,2016-08-10
1215143804,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИРАЖНЫЕ РЕШЕНИЯ 1С-РАРУС""",253608992.0,92.0,62.0,Республика Марий Эл,2016-08-10
1215156909,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОДАМУС""",2450353920.0,81.0,63.11,Республика Марий Эл,2020-03-10
1215167403,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАНТАЙМ""",266012000.0,84.0,63.11.1,Республика Марий Эл,2016-08-10
