inn;name;revenue;nace_code;description;has_cat;confidence;evidence;product;source;date
275906985;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНЫЙ ЦЕНТР СИСТЕМ БЕЗОПАСНОСТИ""";350675008;63.11.1;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 02:59
275931220;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭДСЕЛЛЕР""";122056000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 02:59
276059386;"АКЦИОНЕРНОЕ ОБЩЕСТВО НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""ЭЛИКОМ""";160024992;62.09;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 02:59
276060279;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮНИСОФТ""";143088000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 02:59
276130180;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-ПРО""";125824000;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 02:59
277128392;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ""";145547008;62.09;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:00
277945690;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЕ СИСТЕМЫ""";751993020;63.11;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:00
278181173;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАШ КОНСУЛЬТАНТ""";130697000;63.11;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:00
323400790;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛМЕДСИСТЕМС""";106872000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:01
411059120;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАМАКС СИСТЕМЗ""";191136992;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:01
411059120;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАМАКС СИСТЕМЗ""";191136992;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:01
800010632;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФЕССИОНАЛЬНЫЕ ОТРАСЛЕВЫЕ РЕШЕНИЯ""";103585000;62.01;;TRUE;0.8;Упоминается внедрение профессиональных решений, что может подразумевать использование CAT-систем;;Async Groq + Llama-3;19.12.2025 03:02
1001162630;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМТЕК""";173620000;62.02;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:02
1001212715;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОКОД""";157390000;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:02
1001256060;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЛАБ.ПРО""";129903000;62.0;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:02
1001283924;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕОСИСТЕМЫ ИТ""";194903008;62.01;;TRUE;0.8;Упоминается Trados в описании компании;Trados;Async Groq + Llama-3;19.12.2025 03:02
1001332392;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТРИУМ МЕДИАГРУПП""";123137000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:03
1101011868;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРФЕЙС""";206828000;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:03
1101066602;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОЛОГИИ УСПЕХА""";431283008;62.09;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:03
1101111799;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНСУЛЬТАНТПЛЮСКОМИ""";151292000;63.11.1;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:03
1121027908;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЕМ ЭЛЕКТРО""";111317000;62.02;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:03
1200007580;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ СМАРТКОМСИТИ""";107607000;62.01;;TRUE;0.8;Упоминается Smartcat в названии компании;Smartcat;Async Groq + Llama-3;19.12.2025 03:03
1215181060;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛАТЕЖНЫЙ ИНТЕГРАТОР""";205558000;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:03
1215218922;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТКОИН""";217523008;62.01;;TRUE;0.8;Упоминается Smartcat в названии компании;Smartcat;Async Groq + Llama-3;19.12.2025 03:03
1300007256;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙТЕКС""";273123008;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:04
1324002634;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РМР ЦИФРОВЫЕ ТЕХНОЛОГИИ""";211164992;63.11;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:04
1326194113;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЗНЕС-СОФТ""";135870000;63.11.1;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:04
1326208077;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПР СОЛЮШН""";164392992;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:04
1326209313;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЙ ЦЕНТР ""БАЗИС""";125746000;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:04
1326209842;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОДЕР""";195212000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:04
1327012221;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИМЕТРА-ИНЖИНИРИНГ""";820502020;62.01;;TRUE;0.8;В описании компании упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:04
1327032250;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС СОФТ""";187244992;62.09;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:04
1435231358;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕЙСИСТЕМС-ЯКУТИЯ""";119794000;62.02;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:05
1435345429;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИ ИНТЕГРАЦИЯ""";177598000;62.09;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:05
1615012901;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦИФРОВЫЕ ПРИВЫЧКИ""";807094020;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:05
1615014313;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИНАРНЫЕ МАШИНЫ""";104002000;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:06
1615014360;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВРМ ГРУПП""";256627008;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:06
1615016180;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИОН СОФТ""";106216000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:06
1615016335;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙДИ РЕШЕНИЯ""";122673000;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:06
1635012890;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИННОСИСТЕМ""";326028000;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:06
1644100380;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГИПЕРСПЭЙС-ТЕХНОЛОГИИ""";125274000;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:06
1645026651;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПРЕСС ПЭЙ""";139748000;62.09;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:06
1648038969;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАРС-СПО""";100737000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:06
1650246250;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАТТРАНСЛОГИСТИКА""";105152000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:07
1650280220;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТРАКС ТРЕЙД""";117620000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:07
1650301536;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПРУТ-ТЕХНОЛОГИЯ""";572009020;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:07
1650346382;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОЛОГИИ И СЕРВИС""";117232000;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:07
1650379003;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦИФРОВИЗАЦИЯ ТРАНСПОРТА""";180880000;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:07
1650413800;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙТИ ""ТЭМПО""";282708000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:07
1650415283;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСТЕХСЕРВИС-ИТ""";371368000;62.03.13;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:07
1650424626;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИАГОНАЛЬ""";398824992;63.11;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:08
1650428807;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАНТАСТИЧЕСКИЕ ТЕХНОЛОГИИ""";155152992;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:08
1655139446;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСИНЖКОМ""";131412000;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:08
1655139446;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСИНЖКОМ""";131412000;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:08
1655164731;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОЙЛ""";971392000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:08
1655166016;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЙКО""";4073139970;62.0;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:08
1655177515;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИКС""";206408000;62.09;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:08
1655178822;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИТАКОР""";368550016;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:08
1655185058;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦТО ИНТЕГРО""";205390000;62.02;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:08
1655196324;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИКС-ИГРЕК-ЗЕТ АВТОМАТИЗАЦИЯ""";753027970;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:08
1655197670;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНО-ВНЕДРЕНЧЕСКИЙ ЦЕНТР ""ТЕХНОЛОГИКА""";159479008;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:08
1655197670;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНО-ВНЕДРЕНЧЕСКИЙ ЦЕНТР ""ТЕХНОЛОГИКА""";159479008;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:08
1655218458;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭТП""";849435010;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:09
1655238172;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТРАЛ БИЗНЕС НЕТВОРК""";1331250940;63.11.1;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:09
1655282767;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАВС""";154183008;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:09
1655297026;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕЛЕКОМИНВЕСТ""";943481020;62.09;;TRUE;0.8;Упоминается Trados в контексте работы компании;Trados;Async Groq + Llama-3;19.12.2025 03:09
1655326238;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛИКОД""";221739008;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:09
1655333563;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СВ ПРОЕКТНЫЕ РЕШЕНИЯ""";137562000;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:09
1655395136;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ТЕХАНАЛИТИКА""";121630000;62.01;;TRUE;0.8;В описании компании упоминается «научно-производственное объединение», что может предполагать использование профессиональных CAT-систем для перевода технической документации.;;Async Groq + Llama-3;19.12.2025 03:10
1655399405;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭПИК""";104746000;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:10
1655434836;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР РАЗРАБОТКИ""";147728000;62.09;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:10
1655438527;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЦИДЕНТ ЦЕНТР""";161000000;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:10
1655486538;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕВ ЭВОЛЮШН""";140803008;62.09;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:11
1655496134;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛИКАЙС""";261354000;63.11;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:11
1657112471;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛЕКТРОННЫЙ КУРЬЕР""";235392992;63.11;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:11
1657249910;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ ТИ ЭНТЕРПРАЙЗ СОЛЮШЕНС""";305103008;62.02;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:12
1657253056;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР АВТОМАТИЗАЦИИ""";111323000;62.09;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:12
1657269987;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАТО""";237399008;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:12
1658105371;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""ФИНИСТ-СОФТ""";341500000;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:12
1658238283;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХАЙЗМЕН""";271236000;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:13
1659052683;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНО-ВНЕДРЕНЧЕСКИЙ ЦЕНТР ""ТЕХНОМИР""";1194120960;62.02;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:13
1659159394;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭТТОН ИНТЕГРАЦИЯ""";130230000;62.01;;TRUE;0.8;Упоминается Trados в фразе 'работаем в Trados';Trados;Async Groq + Llama-3;19.12.2025 03:25
1659175364;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОФОЙЛ""";346132000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:25
1660014361;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЙСИЭЛ-КПО ВС""";1381694980;62.01;;TRUE;0.8;"Упоминается Trados в фразе ""работаем в Trados""";Trados;Async Groq + Llama-3;19.12.2025 03:25
1660088290;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЕНИЕ ИНФОРМАЦИОННЫМИ ПРОЕКТАМИ""";102454000;62.01;;TRUE;0.8;В описании компании упоминается «Управление информационными проектами», что может предполагать использование CAT-систем для управления переводами.;;Async Groq + Llama-3;19.12.2025 03:25
1660116638;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ ""ДЕЛЬТАИНКОМ""";105618000;62.01;;TRUE;0.8;Упоминается Trados;Trados;Async Groq + Llama-3;19.12.2025 03:25
